term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
those countries,this state,2.5,1.5
two houses,three houses,4.5,2.062
two musicians,three artists,2,1.732
three cars,four trucks,1.75,1.299
those occasions,every occasion,6,0.707
those passions,every passion,3.5,1.803
that date,that day,2.75,2.046
all lands,every borough,2.25,1.639
those towns,those beds,3.25,1.92
three checks,this bill,1.25,0.433
that statute,all laws,1.75,1.299
two buses,four cruisers,2,1.225
that law,that treaty,2.25,1.639
this gain,every mortgage,1.25,0.433
four suburbs,these villages,1.25,0.433
these clubs,that statute,1.25,0.433
three phones,those phones,5,1.225
three shirts,three hats,3.5,2.5
three cities,four cylinders,1.25,0.433
four houses,those houses,6,0.707
three dates,these dates,3.75,2.773
two lengths,three extensions,1.5,0.764
two producers,three producers,4.75,2.278
these shares,this share,5,1.732
those pleasures,this love,2.5,1.118
three ceremonies,three ships,2,1.732
these tables,these teams,2.75,1.785
these cottages,these bills,1,0
those ships,that artist,1,0
these credits,that credit,4.75,2.165
these shirts,this jacket,2.5,1.658
two ceremonies,these ceremonies,3.25,1.92
two counties,that county,4,1.225
those desires,that desire,5.5,0.5
that future,that period,2.5,1.118
these masses,those guns,1.25,0.433
those hotels,those buses,1.25,0.433
two interests,two days,2,1.732
two families,this family,2.25,1.09
two pubs,that pub,5,2.345
those laws,that share,1.75,0.829
those bottles,this committee,1,0
these funds,all funds,5.5,1.118
two manufacturers,three manufacturers,6,0.707
these laws,those laws,5.5,0.5
two committees,this committee,5,1.871
three hospitals,this hospital,3.5,2.062
that investment,that venture,3.25,2.278
these periods,this manufacturer,1,0
three ventures,that interest,2.5,1.658
this venture,this date,3.25,1.92
two cats,two cows,2.5,1.658
these clubs,this office,1.5,0.866
that castle,every library,1.75,1.299
two helicopters,three dances,1.25,0.433
every country,every draft,3.75,2.165
those libraries,this library,4,2
two funds,two cats,2,1.225
two agencies,four shares,2,1
those countries,this borough,2.75,0.829
three weights,these weights,4,1.871
four coats,four tribes,2.5,1.658
all licences,every licence,4.75,2.278
this hotel,all hotels,5.75,0.829
those gains,that gain,5.75,1.09
that bond,that obligation,2.75,1.479
these leagues,all committees,2,1.225
those incomes,this income,5.75,0.829
two leagues,two days,2.25,1.09
three companies,three cannons,1.25,0.433
two violins,these guitars,1.25,0.433
those phones,that statute,1.75,1.299
all villages,all agencies,1.25,0.433
that investment,that profit,3,1.225
two libraries,two guitars,1.25,0.433
four corners,that corner,4.5,2.062
these ventures,that share,1.25,0.433
this state,every state,2.75,2.046
two departments,this house,1.25,0.433
three hospitals,three periods,4.25,1.479
two tables,that table,3.25,1.479
these countries,these villages,4,1.871
this law,that television,1.5,0.866
those artists,this artist,4.25,1.92
two kingdoms,three sofas,1.75,1.299
two buses,four boats,2,1.225
two credits,four credits,2.5,2.062
this club,every club,5.75,1.639
those dogs,this dog,3,2.449
two cats,two agencies,2.25,2.165
every village,every rocket,1.5,0.5
these pubs,those pubs,3.75,2.773
all leagues,every bond,1.25,0.433
these beans,those beans,5.5,0.866
four constitutions,that constitution,3.75,1.639
these countries,every county,4,1.581
these troops,all troops,5.75,0.829
four leagues,these households,2.25,1.299
every artist,every photographer,3.25,1.479
all occasions,all dances,5,1.225
four phones,four hospitals,1.25,0.433
this town,this day,1,0
four battleships,four boats,2.75,2.046
these teams,all committees,2.25,1.639
those clubs,every nation,1.75,1.299
four boats,four cruisers,2.75,1.09
two laws,these licences,1.25,0.433
these desires,this fear,1.25,0.433
these clubs,this club,4.5,0.866
two moments,three moments,6.25,0.433
that date,that day,4.75,1.09
three extensions,three houses,1,0
these phones,these towns,1.75,0.829
these towns,that town,4.25,1.92
four pigs,those rabbits,1.75,0.829
these dogs,those investments,1.5,0.5
three companies,this company,5.25,1.92
all libraries,all villas,1.5,0.5
this league,that company,1.5,0.866
these beds,those dogs,1.25,0.433
those fears,that anger,1,0
two ceremonies,three ships,1.25,0.433
four clubs,four tribes,2.75,1.785
all shares,every share,4,2.121
two shares,four shares,4.5,2.062
these rifles,that profit,1.25,0.433
three cows,four cows,4.25,1.639
these producers,all producers,3.75,1.479
four families,those departments,1,0
two elephants,three cruisers,1.5,0.5
four departments,four houses,1.5,0.5
these ventures,this hospital,1.25,0.433
three bills,three checks,2.25,1.299
four funds,four guns,2,1.732
two frigates,four frigates,4.5,2.291
four dances,four families,1.75,0.829
these suburbs,that parish,1,0
this bed,every bed,3.25,2.278
two kingdoms,four kingdoms,4.75,2.165
three cats,those cats,5.25,0.433
these investments,these profits,3.25,1.479
two departments,four troops,1,0
these kingdoms,that borough,2,1
three cylinders,four shares,1,0
three apples,four apples,4.33,2.055
these investments,that gold,2,1.732
all fighters,every fighter,3.5,1.658
two rings,these rings,4.25,2.046
two chairs,three laws,1.5,0.866
those mortgages,those balls,2.25,1.639
those farmers,that pain,1.25,0.433
two trucks,three pickups,2.75,1.479
that check,every obligation,1.25,0.433
two sofas,this bed,1,0
those countries,all counties,3.75,1.92
three makers,four developers,2.5,1.5
all houses,all moments,2,1.528
three elephants,three lions,1.25,0.433
three tribes,that tribe,3.5,2.062
that boat,that bus,1.75,0.829
this guitar,that library,1.25,0.433
three restaurants,three days,2,1.732
those guns,that convention,1.25,0.433
these balls,these ships,4.25,1.92
two countries,four countries,2.5,2.062
these cars,that ship,1.5,0.5
three rings,that ring,5,1.871
this artist,all artists,5,0.707
these committees,this interest,2.25,1.299
all tribes,every bomb,1,0
two makers,four makers,4,1.225
those phones,this phone,5.25,1.479
these trains,this car,2.75,1.785
two days,two moments,3.75,1.639
that gain,that bed,3.25,2.487
two farmers,those producers,2.5,1.118
two departments,this house,1,0
two interests,this allocation,1,0
every artist,every manufacturer,2.5,1.5
these axes,this restaurant,1.25,0.433
four musicians,four axes,3,2.449
all houses,every agency,1.25,0.433
those builders,those musicians,2,1.225
two ventures,four corners,1.5,0.5
these moments,every moment,4,2.121
those extensions,all lengths,1,0
two brigades,four legions,1.25,0.433
these extensions,this extension,5,1.414
this train,all trains,4.75,1.09
these kingdoms,this parish,1.75,1.299
those clubs,this house,1.5,0.5
this horse,every horse,4,1.871
four houses,these houses,5.5,0.5
three frigates,this train,1.25,0.433
these bills,this check,1.75,0.829
these castles,those incomes,1.25,0.433
these buses,every car,1.25,0.433
these ceremonies,that party,2,1.732
those weights,that kingdom,1.25,0.433
these countries,those winds,1.25,0.433
two leagues,these companies,1.25,0.433
four credits,those credits,4,1.871
two interests,three interests,5.75,0.433
those incomes,those profits,3.75,1.785
all restaurants,all trucks,1.75,0.829
those beds,those masses,1.75,1.299
those gains,those profits,2.75,2.046
two kingdoms,four boroughs,1,0
this ceremony,that ceremony,4.5,2.062
these licences,that coat,1,0
this company,this league,1.25,0.433
this borough,all boroughs,4,1.414
three cents,three dollars,2,1.225
two battleships,four tankers,2,0.707
three drafts,that law,1,0
these impulses,these committees,1.25,0.433
this state,that city,3.25,1.479
two vans,four trains,1,0
three producers,four photographers,2.5,1.118
two dogs,four chairs,1.25,0.433
four agencies,four committees,1.5,0.5
that anger,that love,1.25,0.433
that hotel,every pub,1.25,0.433
four airplanes,four cars,2.25,2.165
three licences,four libraries,1.5,0.866
two grenades,three grenades,5,0.707
two pickups,two trucks,2,0.707
two rats,three dogs,1,0
two cups,three cups,3.25,2.278
all obligations,every share,2.5,1.118
three treaties,three jets,2.5,2.062
four villas,those hotels,1.75,1.299
these tribes,that cow,1,0
two trains,three boats,1.75,1.299
four musicians,four companies,3,1.871
three clubs,three departments,2.5,1.5
those cities,those villages,4,1.871
three cars,three vans,3.25,0.829
three ceremonies,three cars,2.5,2.062
these leagues,every tribe,1.25,0.433
those cities,that moment,1.5,0.866
this shirt,that shirt,6.25,0.433
these bottles,that fear,1.25,0.433
this treaty,that office,1,0
this wind,that wind,5.25,0.829
four towns,four households,3,1.871
two libraries,this hospital,1.25,0.433
these moments,this moment,5,0.707
every cow,every horse,2.75,1.785
two nations,these nations,5.25,1.09
three artists,four rings,1.25,0.433
these countries,every village,2.5,1.5
two boroughs,three ferries,1.25,0.433
these companies,this team,1,0
four villages,four moments,1.25,0.433
two guns,these swords,1,0
that convention,all conventions,3.5,1.658
these clouds,that wind,1.75,1.299
all companies,all departments,1.75,1.299
two pubs,two shares,1,0
these beans,these boats,3,2.345
all phones,all cheques,3,1.871
two developers,four manufacturers,1.75,0.829
this kingdom,that kingdom,4,1.871
this extension,this mass,1.25,0.433
three committees,four countries,1,0
four ships,that ship,2.75,1.479
two tables,three tables,4.5,2.291
two agencies,these agencies,5.5,0.5
these tables,these masses,2,1.225
two counties,two kingdoms,2.25,2.165
two ships,three ships,3.25,2.278
three cities,four cylinders,2.75,2.487
every manufacturer,every bomb,1.25,0.433
those villages,this village,3.5,2.598
these buses,every car,1.25,0.433
four makers,these farmers,1.5,0.866
that artist,that opinion,2,1
those pants,that dress,1,0
this statute,this dance,2.75,2.487
four developers,those producers,3,1.871
these states,all boroughs,3.5,2.5
three hospitals,three towns,1.75,0.829
four countries,this country,5.25,1.479
this cup,that cup,4.25,2.046
these tables,these missiles,1.5,0.866
three libraries,four eagles,1.75,0.829
two interests,two castles,1.5,0.5
three laws,that licence,2,1.225
all moments,every moment,4,2.121
two boats,four households,1.75,1.299
three tankers,four tankers,3.25,1.785
two battleships,three vans,1,0
these shirts,those shirts,6.75,0.433
those bombs,this cottage,2,1.225
two teams,this committee,2.25,0.829
four pennies,four pounds,2.75,1.479
this committee,all committees,4.75,1.639
two villages,this village,3,1.871
these pigs,those possessions,2,1.732
three extensions,that extension,3.75,2.773
two departments,those troops,1.75,1.299
this weight,that weight,3.75,2.773
this kingdom,this weight,1,0
two helicopters,four rockets,1,0
two tables,four tables,3.25,1.785
that moment,all periods,1,0
two rings,three corners,1,0
two hospitals,four nations,1,0
all obligations,every licence,3.25,2.487
two battleships,two frigates,1.75,0.829
two helicopters,three buses,2.25,1.639
two developers,four producers,1,0
two conventions,two laws,3.5,1.5
three libraries,four lengths,2,1.732
two producers,four counties,1,0
all households,every household,4.25,1.92
these villages,those towns,2,1.225
four phones,this radio,1,0
those cities,those opinions,2.5,1.118
all mortgages,every mortgage,2.75,2.046
two departments,four agencies,1,0
every maker,every producer,2.75,1.09
two laws,four treaties,1.75,1.299
those companies,that restaurant,1,0
two ships,this ship,4.75,1.09
this ship,that car,2,0.707
those checks,this occasion,1.75,1.299
three offices,this agency,2.5,1.658
all interests,all towns,1.75,1.299
these ships,that state,1.25,0.433
four manufacturers,these manufacturers,5.5,1.118
these rifles,that bill,1,0
two horses,these rats,1.75,1.299
these boroughs,those boroughs,4.75,1.92
these kingdoms,those kingdoms,5.75,1.09
these boroughs,these occasions,1.25,0.433
these weights,those weights,4.5,2.291
all tribes,every period,1.5,0.866
these interests,this interest,5.25,1.299
three households,four trucks,1.25,0.433
four weddings,that wedding,3,2
these pants,this shirt,1.25,0.433
this obligation,all obligations,3.5,2.062
two cows,three lions,1.5,0.866
all farmers,every producer,1.5,0.5
two parties,three ceremonies,1,0
three cows,four tribes,1.5,0.866
these trucks,those boroughs,1.5,0.866
these lengths,that length,3.75,2.773
these tables,this chair,3.25,1.92
these departments,this department,4.5,1.118
that pleasure,that household,1.25,0.433
three photographers,those architects,1.75,0.829
every happiness,every pleasure,3,2.121
that bill,that licence,2.5,1.118
three companies,that branch,1.5,0.866
three guitars,that guitar,1.75,1.299
these states,those towns,3.25,1.92
those lands,this land,4,1.732
two axes,four jets,1.5,0.866
two brigades,three teams,1.5,0.5
that dance,that moment,2.25,1.09
three balls,those balls,3.75,2.278
this law,that opinion,2,1.732
those licences,every law,1.25,0.433
two boroughs,three towns,2,1
three beds,three nations,1,0
two leagues,those committees,1.25,0.433
three days,four platoons,1,0
four towns,four knobs,2.5,2.062
these ceremonies,that ceremony,5,1.225
those buses,all ships,1.75,1.299
those incomes,those interests,1.75,0.829
two dates,three departments,1.5,0.866
three battleships,four battleships,6,0.707
those designers,that library,1.5,0.866
two makers,four makers,4.5,1.5
every convention,every treaty,2.25,1.299
all assignments,every assignment,3.75,2.278
those pains,this pain,5,1.225
two developers,four producers,2.75,2.046
those teams,all companies,1,0
all photographers,every fear,1.75,1.299
this assignment,that length,2.25,0.829
every country,every fighter,1.25,0.433
those gains,this gain,3,1.414
those fears,this momentum,1,0
three sofas,those tables,2,1.095
these countries,this check,1,0
that radio,that television,3.25,1.785
those teams,this cat,1,0
that mass,every mass,4.4,1.744
four cannons,these bombs,2,1.732
this gain,this tribe,1.25,0.433
three villas,this villa,4,1.581
three opinions,those opinions,5.75,1.09
these boats,that car,1,0
three bears,three cats,2,0.707
those balls,every ball,5.75,1.09
three tables,four periods,1,0
these checks,that check,5.75,1.09
three corners,this corner,2.25,1.639
two credits,two ventures,1.75,1.299
three golds,those profits,3.5,1.118
that allocation,that capital,3.25,2.278
these laws,this club,1.25,0.433
three goats,those dogs,1.5,0.5
four developers,four houses,2.75,2.046
two pigs,four goats,1,0
two platoons,four platoons,4.75,1.639
all cars,all trains,1.75,1.299
four treaties,those treaties,3.5,2.598
this office,all offices,4.75,1.92
three pigs,four hurricanes,3,2.449
this licence,this moment,1,0
those shirts,every shirt,3,2.121
four capitals,four funds,3,2
two departments,four troops,1.75,0.829
three opinions,four tables,1.25,0.433
this check,all checks,4,1.871
three cows,three domes,2.75,2.046
two countries,that county,5.25,1.92
this car,this ship,1.75,1.299
every venture,every house,1,0
that profit,all profits,4.5,1.5
this constitution,all statutes,1.25,0.433
two licences,three houses,1.75,0.829
these agencies,all agencies,4.75,2.278
four tribes,this league,1.75,1.299
this credit,this fund,3.5,2.062
four occasions,these occasions,4.25,1.92
two wardrobes,those beds,1,0
those cats,that cat,5.25,0.433
this cottage,that hospital,1.25,0.433
these musicians,those musicians,5.25,0.829
this hotel,this chair,1,0
three elephants,these pigs,1.75,1.299
two boats,three troops,1,0
three boroughs,four offices,2.5,1.118
all agencies,all departments,4,1.871
two hats,those pants,1.25,0.433
these teams,those committees,2,1.225
three pigs,three nations,1.25,0.433
those libraries,those guitars,1.75,0.829
two teams,two tribes,3,1.225
two grenades,these bombs,1.75,0.829
two boroughs,those states,2,1.225
two teams,those tribes,2.25,0.829
two ambulances,three cars,1.5,0.866
these assignments,this assignment,4.75,1.299
two laws,four laws,5.5,1.5
these committees,this committee,5.75,0.829
those teams,all clubs,1.5,0.866
these ceremonies,that party,2,1
two agencies,this team,1.25,0.433
two beds,these beds,5.5,0.5
every kingdom,every bottle,2,1.225
two battleships,two boats,2,1.732
three days,four shares,1.5,0.866
three helicopters,four helicopters,3.75,2.278
those trucks,this investment,1,0
four libraries,four jets,2.25,1.299
those chairs,every chair,6,0.707
all capitals,all artists,1.6,1.2
two trucks,four frigates,1.25,0.433
those clouds,that cloud,4,2.236
these statutes,every assignment,2,1.732
three offices,those offices,5.25,1.479
two flutes,three flutes,4.25,2.165
three treaties,three masses,2.25,2.165
those shirts,those beds,1,0
this dance,that party,2.5,2.598
this parish,this suburb,2.75,2.046
those trains,this dynamic,1,0
that income,every gain,1.75,1.299
these horses,those cats,1.25,0.433
these lands,these states,2.5,2.062
that law,that licence,2,1.732
two troops,four troops,4.5,1.118
that country,that village,2,1
those incomes,this department,1,0
two departments,those troops,1.5,0.866
four offices,those offices,3.75,1.92
four cottages,four hotels,1.5,0.5
two goats,four cats,1.5,0.866
those dresses,that coat,2,1.225
those cities,all villages,1.75,0.829
that hotel,every cottage,1.5,0.866
every fund,every mortgage,1.5,0.866
these agencies,every agency,4.5,2.062
all desires,every desire,3.75,2.165
those makers,all artists,1,0
two checks,this share,2,1.732
this county,that borough,2,1.732
those lengths,this length,2.5,1.118
two boats,four libraries,1.25,0.433
these villages,this moment,1,0
these states,this land,2,1.225
every gain,every tribe,3,1.225
two missiles,four missiles,5.75,0.433
two chairs,four chairs,4.5,1.5
four corners,this ring,1.75,1.299
three states,four towns,1.25,0.433
four agencies,this department,2,1.732
this land,every land,6,0.707
those incomes,that income,3.25,2.278
two counties,three dances,2,1.225
four households,that league,1,0
this bus,all motorcycles,1,0
this phone,this dog,1.25,0.433
this fund,that town,1,0
these statutes,that statute,3.75,2.385
every treaty,every cylinder,2,1
this chair,this table,1.75,0.829
this town,this life,3.25,2.278
these dances,every dance,4.25,1.92
two fighters,four pounds,1.25,0.433
all beds,every penny,1,0
three restaurants,four credits,2.25,1.09
these interests,those funds,1,0
those moments,that share,1.75,1.299
four countries,four battleships,2.75,1.785
two bills,those treaties,1.25,0.433
three corners,that ring,1,0
two families,those companies,1,0
every bond,every team,1.25,0.433
these teams,every tribe,1.25,0.433
three beds,those beds,5.25,1.479
three bottles,three helicopters,1.75,0.829
this company,this league,1.25,0.433
two states,this county,1.75,0.829
three bills,this bill,3,2
these dances,those families,1,0
every hotel,every village,1.75,1.299
every manufacturer,every pound,1.67,1.106
that phone,all phones,5,1.225
three assignments,that assignment,4.5,2.062
four dates,this date,3.75,1.639
three shares,this check,2.5,1.118
these leagues,every league,5.75,0.433
these cities,this kingdom,1.5,0.866
two funds,two interests,1.75,0.829
that capital,all capitals,5.25,1.92
three phones,four credits,1.25,0.433
those bonds,those moments,2.5,1.5
two balls,four balls,4.75,2.165
those cities,that city,4.75,1.09
those trains,every train,3.25,1.785
four cities,this village,2.75,1.785
these cities,these villages,1.5,0.866
these assignments,this obligation,1,0
these ventures,those corners,1,0
those rings,all cylinders,1.25,0.433
these makers,those makers,6,0.707
that league,all leagues,2.75,1.479
this club,this team,3,2
all boroughs,every town,1,0
this phone,this dog,1.5,0.866
four nations,four moments,2.25,2.165
this moment,all moments,4.75,1.09
these tables,this table,4,1.581
these trucks,those trucks,4,1.871
two families,two houses,2.25,1.09
those boats,this guitar,1,0
two nations,two troops,3.25,2.278
those towns,this county,2.75,1.479
those moments,that moment,4.5,2.217
three photographers,four photographers,4.25,1.92
two ambulances,three ambulances,5.5,0.866
this pain,that horse,1,0
these licences,this bond,1.25,0.433
these treaties,every treaty,3.25,2.487
this draft,that pain,1.25,0.433
all opinions,all buses,2,1.732
four masses,those masses,4.75,0.829
two pickups,three pickups,3.5,2.5
two chairs,two platoons,1.75,1.299
two teams,two troops,4,1.871
these pubs,these restaurants,4.75,0.829
those boroughs,this county,2.5,2.598
these gains,these profits,2,1.225
these teams,these periods,2.25,2.165
four suburbs,this county,2,1.225
all conventions,all dances,1,0
those agencies,this agency,2.75,1.785
three boroughs,this land,1.75,0.829
three shillings,four shillings,4.6,2.245
every castle,every hospital,1.75,1.299
these tribes,every tribe,4.5,1.118
two developers,four developers,4.5,1.118
two beds,four companies,1.75,1.299
all makers,every designer,4,1.871
these ceremonies,that sword,1.5,0.5
those architects,those designers,2.5,2.062
those builders,that state,1,0
two libraries,three libraries,2.75,1.479
three drafts,these drafts,6.25,0.433
that bill,every bill,4.33,2.055
every city,every kingdom,2,0.707
these rings,those counties,1,0
these checks,this check,2.5,1.658
those villages,that licence,1.25,0.433
every television,every treaty,2,1.732
two committees,three bonds,1,0
three libraries,four designers,1.75,1.299
all shares,all teams,2,0.707
these counties,every land,1.5,0.866
this pain,that pain,5.25,1.479
two cows,three cows,2.5,1.118
those laws,this share,1,0
all trucks,every obligation,1,0
these desires,those desires,4.25,2.046
those pigs,that convention,1.25,0.433
two architects,those developers,1.5,0.866
those conventions,those offices,2,1.225
those squirrels,this dog,1.25,0.433
two tables,four kingdoms,1,0
that hotel,every cottage,2,1.225
that pain,that chair,3.5,1.658
these pubs,these artists,2.75,1.09
two musicians,those musicians,4.25,1.299
those fighters,every fighter,5,1.225
these lengths,those lengths,5,2.345
these counties,those counties,5.5,0.5
that hotel,every pub,1,0
these teams,these periods,2.75,1.785
all ships,every weight,1,0
two towns,this town,5.25,1.299
two boats,that boat,4.5,2.179
these vans,that boat,1,0
those departments,those nations,3,2.449
all pubs,every venture,1.25,0.433
two coats,four ships,1.75,1.299
two battleships,two boats,3.5,1.803
three restaurants,four manufacturers,2,1.225
every happiness,every love,3.75,2.773
this future,that period,1,0
these pens,that share,2.25,1.639
four committees,this committee,4,1.581
these tables,this ceremony,1.75,1.299
this pain,that bond,3,2.449
three states,four states,5,1.871
two villages,four weddings,1.25,0.433
four hotels,this castle,2,1.732
two forks,three forks,3,1.871
three musicians,those designers,1,0
two hats,two rifles,1.75,0.829
this ship,all ships,4.25,1.92
these investments,this club,1,0
those lengths,that length,3.75,1.92
four coats,four tribes,1.25,0.433
this extension,every extension,5.25,1.92
three manufacturers,this manufacturer,2.75,1.785
this dance,every wedding,2,1
three tables,four periods,1.25,0.433
those phones,those hotels,3,2.121
this cancer,every cancer,4.25,1.299
every investment,every club,1.25,0.433
those counties,that town,1.25,0.433
those horses,those rats,1.25,0.433
three committees,that nation,1.5,0.5
these hospitals,this car,1.75,1.299
these parties,all balls,1.25,0.433
four bombs,four cannons,3,2
these committees,this interest,3.25,1.299
these gains,those gains,4.75,1.299
these chairs,those chairs,4.75,2.278
two cylinders,four cubes,2.25,2.165
two bears,two lions,2,1.225
these licences,this bill,1.75,0.829
two corners,three corners,4.75,2.165
these cities,these occasions,2.5,1.5
four boats,four cruisers,2.75,1.09
two restaurants,three hospitals,1,0
three days,those days,3.25,2.278
these vans,that ship,1.5,0.866
two opinions,four ferries,1,0
those countries,this county,5,1.225
those clubs,all leagues,1.5,0.866
those rings,all cylinders,1,0
these tables,those tables,3.5,2.5
this dance,every dance,2.25,1.09
this hotel,this villa,1.75,0.829
these checks,every check,5.5,0.866
these hospitals,all hotels,1,0
this stretch,that extension,1.5,0.866
all ceremonies,all fighters,1.5,0.866
all boroughs,every town,1.25,0.433
four motorcycles,those buses,1.5,0.866
every borough,every cancer,1,0
every pub,every team,3,2.449
this corner,that company,1.5,0.866
this ship,every motorcycle,1.5,0.5
those bills,every bond,1.25,0.433
this cat,every cat,5,0.707
every venture,every draft,3,1.871
this department,this boat,2.75,1.785
those rats,all dogs,2.25,1.09
these bottles,this weight,1,0
all motorcycles,every motorcycle,4.5,2.062
that county,that state,1.6,1.2
this venture,all profits,1.5,0.866
every celebration,every household,1.75,0.829
these periods,this period,5.75,0.433
that assignment,that obligation,1.25,0.433
these developers,this manufacturer,2,1.225
that pub,all pubs,3.5,1.118
two manufacturers,two conventions,1.75,1.299
these drafts,every treaty,1.25,0.433
these ships,all cars,1.5,0.866
these kingdoms,these cars,1,0
four dogs,that dog,3.5,1.658
four frigates,those fighters,1,0
three shares,four rockets,1.75,1.299
three laws,three licences,1.25,0.433
two troops,those troops,4.2,2.135
those mortgages,those conventions,1.75,0.829
these villages,those leagues,2.75,1.92
four pubs,that pub,3.25,1.785
that share,that club,1.75,1.299
that ship,all motorcycles,1.25,0.433
these pens,that share,1.5,0.866
this cup,every cup,3,2
these ventures,that venture,5.25,0.433
three trains,that train,5,0.707
four households,those leagues,2.6,2.059
three bills,that bond,1,0
this occasion,all occasions,4.25,1.785
this family,every team,1.75,1.299
these ceremonies,this ball,2.5,2.598
four nations,four moments,1.5,0.866
this law,this epoch,2.25,1.639
four cottages,four hotels,2.25,1.639
two musicians,these musicians,4.25,2.385
two cyclones,three cottages,1,0
these tables,that table,3.75,1.92
these balls,those committees,1.75,1.299
three companies,those companies,4.75,2.278
those clubs,those guns,1.75,1.299
two parties,these parties,4,1.871
that ceremony,every party,2,1
those clubs,those leagues,2,0.707
all phones,every share,2.25,1.299
all cottages,all countries,2,1.225
those committees,those teams,3,2.121
all restaurants,all days,1.25,0.433
those leagues,every league,3,2.121
two trucks,four trucks,5.75,1.09
every interest,every committee,2.25,1.299
that ceremony,every ceremony,4,2.121
three corners,those corners,4.5,2.179
three kingdoms,those cities,2,1.732
all committees,every committee,4.5,2.062
two pigs,those rats,1.5,0.866
all dates,every borough,1.5,0.5
these obligations,this obligation,5,1.732
these countries,those winds,1,0
four helicopters,four jets,2.25,1.299
four masses,this extension,1.5,0.866
two boroughs,two states,3.75,1.92
all dances,all tribes,1.75,0.829
those cats,every cow,1.25,0.433
two cats,three masses,1.75,1.299
this epoch,this moment,1,0
those departments,that department,3,2.121
that cat,all cats,4.75,0.829
these gains,all gains,3.25,2.278
every pub,every team,1.75,0.829
this statute,that assignment,1,0
this interest,this suburb,1.75,0.829
those horses,that licence,1.75,1.299
these tables,all tables,5.75,1.299
these lengths,this length,5,0
those buses,those trucks,1,0
all counties,every borough,1.5,0.866
those fears,that anger,1.5,0.866
these hospitals,these households,2.25,2.165
those agencies,every agency,3.25,1.785
four households,four offices,2.5,1.118
this gain,that gain,4.75,2.278
those clubs,those departments,2.75,1.785
these artists,all producers,1,0
these villas,that country,1.75,1.299
four cannons,four missiles,1.75,0.829
that hat,that constitution,2.75,1.785
two departments,three axes,1.25,0.433
four manufacturers,those manufacturers,5.25,1.479
this love,every love,2.25,2.165
these allocations,this gain,2,1.225
four troops,those committees,2,1.732
every shilling,every department,1.5,0.5
three lengths,this length,3,2.121
three designers,these developers,2.75,1.785
this venture,all credits,1.25,0.433
three trucks,this boat,1,0
every hotel,every restaurant,4,1
every gain,every dance,2.5,2.062
this pub,all pubs,3.5,1.658
two rats,those rats,4.75,2.278
four weights,those weights,5,0.707
these clubs,this league,1.5,0.866
those countries,that country,5,0.707
two licences,these licences,3.25,1.92
three trains,four boats,1.25,0.433
this moment,this period,4.25,2.385
these drafts,this draft,4,2.121
this wind,this extension,1.75,1.299
three guitars,those guitars,4.5,2.062
this anger,that castle,1.25,0.433
that law,that share,1.75,1.299
three funds,those interests,2.25,1.639
three cats,those horses,1.25,0.433
two ventures,three ventures,4.25,2.046
two rockets,three battleships,2.25,1.09
four drafts,those treaties,1.5,0.866
three moments,this moment,3.25,1.92
this pub,that venture,1,0
two ventures,four families,1.25,0.433
this assignment,that length,3,1.871
three farmers,four farmers,4.25,2.165
three parties,these parties,5,1.225
that borough,that country,2.75,2.046
three periods,four rings,2,1.225
three platoons,three troops,3.25,2.487
these cities,these villages,2.75,2.046
three conventions,four periods,1.25,0.433
two bottles,three bottles,4.5,2.062
these ships,this ship,5.25,0.433
two trains,four yachts,2,1
all weights,every cat,1.25,0.433
those days,this period,1.75,0.829
all hotels,every restaurant,1.75,1.299
two shirts,this coat,3.75,1.785
those towns,this country,2.5,1.658
three houses,this team,1,0
four households,four moments,1.75,0.829
two ventures,four companies,2.25,1.09
three architects,four manufacturers,2.25,1.639
this period,that period,4,1.225
three fighters,those fighters,4.5,2.291
these troops,that department,2.5,1.118
those pubs,this pub,6,0.707
this life,that life,4,2.121
these tables,every chair,1.75,0.829
those tribes,this law,1.25,0.433
those producers,that check,1,0
those gains,those interests,2.25,1.639
all moments,every possession,1,0
two grenades,four grenades,4.5,2.062
two trucks,three trucks,3.75,2.278
those departments,this department,5,1.225
three ferries,three tankers,2.5,1.5
three elephants,three goats,2,1.225
two departments,four families,1,0
three ferries,four musicians,1,0
two photographers,three photographers,4,2.121
two towns,three states,1,0
these cars,every car,2.75,1.09
two pistols,three swords,2,1.225
two extensions,three golds,1.25,0.433
those farmers,every farmer,5.25,1.479
these treaties,all treaties,3,2
two musicians,two cars,2.5,2.062
two troops,this department,1.75,0.829
these pigs,those cats,2,1.732
these buses,those dresses,1.75,1.299
those interests,this interest,4.5,1.118
this love,that sensitivity,1,0
this parish,this village,1.25,0.433
those dollars,those houses,2,1.732
that car,all boats,2.5,1.658
four hotels,this hospital,2.25,2.165
every branch,every company,1.75,0.829
two hotels,this hospital,2,1.225
all rabbits,all companies,1.5,0.866
two cows,three horses,2.25,2.165
three rings,these rings,5.75,0.829
these horses,these leagues,1,0
those boroughs,that parish,3.5,2.291
this horse,that cow,2.75,0.829
these villas,this cottage,2,1
this bottle,this cup,1,0
these ships,every ship,3.5,1.658
two houses,four houses,4.5,2.179
three towns,four prefectures,1.25,0.433
those laws,this bill,1.75,0.829
all occasions,every occasion,4.25,2.046
every hotel,every restaurant,2.25,1.299
